,id_onibus,latitude,longitude,tempo_captura,tipo_veiculo
0,GI035,-25.523743,-49.293256,16:15,COMUM
1,JL316,-25.448596,-49.365731,16:14,PADRON
2,JL318,-25.339396,-49.271101,16:15,PADRON
3,JL305,-25.46457,-49.31042,16:15,PADRON
4,JL320,-25.399863,-49.260136,16:15,PADRON
5,JL310,-25.439615,-49.262638,16:15,PADRON
6,JL324,-25.42851,-49.284938,16:15,PADRON
7,DE712,-25.435805,-49.274495,16:15,BIARTICULADO
8,DE711,-25.468603,-49.208711,16:15,BIARTICULADO
9,GE707,-25.438061,-49.272853,16:15,BIARTICULADO
10,DE701,-25.436076,-49.262438,16:15,BIARTICULADO
11,DE703,-25.436471,-49.308521,16:15,BIARTICULADO
12,JE702,-25.437495,-49.324546,16:15,BIARTICULADO
13,JE706,-25.449005,-49.216156,16:15,BIARTICULADO
14,DE716,-25.44077,-49.220693,16:15,BIARTICULADO
15,DE714,-25.438716,-49.3335,16:15,BIARTICULADO
16,JE700,-25.440908,-49.34167,16:15,BIARTICULADO
17,JE701,-25.437133,-49.265453,16:15,BIARTICULADO
18,JE703,-25.437071,-49.243845,16:15,BIARTICULADO
19,JE705,-25.468415,-49.208795,16:15,BIARTICULADO
20,DE709,-25.435825,-49.307171,16:15,BIARTICULADO
21,DE719,-25.44094,-49.236556,16:15,BIARTICULADO
22,DE706,-25.430286,-49.29249,16:15,BIARTICULADO
23,JE708,-25.434261,-49.276425,16:15,BIARTICULADO
24,DE713,-25.431713,-49.278205,16:15,BIARTICULADO
25,DE710,-25.470863,-49.21115,16:15,BIARTICULADO
26,DE718,-25.441666,-49.346965,16:15,BIARTICULADO
27,DE707,-25.438775,-49.26813,16:15,BIARTICULADO
28,GE709,-25.43289,-49.271096,16:15,BIARTICULADO
29,JE848,-25.431141,-49.279381,16:15,BIARTICULADO
30,JE704,-25.449446,-49.363758,16:15,BIARTICULADO
31,JE709,-25.451131,-49.363215,16:15,BIARTICULADO
32,JE846,-25.448886,-49.365305,16:15,BIARTICULADO
33,JB609,-25.508756,-49.329966,16:15,ARTICULADO
34,JB607,-25.51354,-49.296051,16:15,ARTICULADO
35,GB609,-25.494225,-49.324601,16:15,ARTICULADO
36,HB694,-25.477901,-49.331975,16:15,ARTICULADO
37,HB610,-25.45823,-49.34684,16:15,ARTICULADO
38,HB699,-25.442065,-49.344513,16:15,ARTICULADO
39,GB610,-25.427896,-49.35364,16:15,ARTICULADO
40,HB605,-25.404421,-49.33539,16:15,ARTICULADO
41,MB699,-25.44312,-49.343781,16:15,ARTICULADO
42,HA609,-25.400608,-49.330906,16:15,ARTICULADO
43,JB608,-25.511485,-49.324735,16:15,ARTICULADO
44,JI604,-25.4567,-49.303398,16:15,ARTICULADO
45,MB601,-25.402473,-49.326848,16:15,ARTICULADO
46,MB605,-25.475333,-49.318458,16:15,ARTICULADO
47,HI610,-25.524871,-49.316646,16:15,ARTICULADO
48,HB697,-25.494991,-49.338476,16:15,ARTICULADO
49,HB609,-25.5034,-49.340998,16:13,ARTICULADO
50,JB611,-25.441861,-49.349225,16:15,ARTICULADO
51,HR117,-25.539973,-49.307958,16:15,ARTICULADO
52,MR106,-25.441468,-49.345665,16:15,ARTICULADO
53,MB698,-25.419368,-49.29458,16:15,ARTICULADO
54,GB611,-25.517895,-49.292165,16:15,ARTICULADO
55,GB600,-25.511903,-49.324335,16:15,ARTICULADO
56,JI948,-25.456901,-49.334955,16:15,MICRO ESPECIAL
57,JI851,-25.436068,-49.27491,16:15,MICRO ESPECIAL
58,GE727,-25.505973,-49.283661,16:15,BIARTICULADO
59,HE704,-25.470691,-49.255146,16:15,BIARTICULADO
60,HE719,-25.441143,-49.26706,16:15,BIARTICULADO
61,GE734,-25.506936,-49.284538,16:15,BIARTICULADO
62,HE703,-25.485291,-49.267015,16:15,BIARTICULADO
63,GE710,-25.43483,-49.268781,16:15,BIARTICULADO
64,GE724,-25.549423,-49.290461,16:15,BIARTICULADO
65,HE718,-25.475851,-49.259305,16:15,BIARTICULADO
66,GE732,-25.448101,-49.26346,16:15,BIARTICULADO
67,KE705,-25.516955,-49.23004,16:15,BIARTICULADO
68,KE704,-25.438396,-49.268251,16:15,BIARTICULADO
69,KE702,-25.455083,-49.260265,16:15,BIARTICULADO
70,KE703,-25.490593,-49.24292,16:15,BIARTICULADO
71,GE600,-25.466311,-49.254626,16:15,ARTICULADO
72,GR032,-25.433791,-49.270351,16:15,ARTICULADO
73,KE701,-25.444523,-49.265283,16:15,BIARTICULADO
74,KA601,-25.524416,-49.334111,16:15,ARTICULADO
75,JI600,-25.483841,-49.326966,16:15,ARTICULADO
76,KA604,-25.532086,-49.297603,16:15,ARTICULADO
77,KA697,-25.52491,-49.247106,16:15,ARTICULADO
78,GI602,-25.537771,-49.277326,16:15,ARTICULADO
79,GI603,-25.54858,-49.291601,16:15,ARTICULADO
80,JC314,-25.476868,-49.328193,16:15,PADRON
81,HI039,-25.499613,-49.346641,16:15,COMUM
82,JA030,-25.49677,-49.346261,16:15,COMUM
83,JI022,-25.487476,-49.34866,16:15,COMUM
84,HI035,-25.491548,-49.293345,16:15,COMUM
85,HI015,-25.495108,-49.298178,16:15,COMUM
86,JA024,-25.492633,-49.313301,16:15,COMUM
87,HA193,-25.491966,-49.293108,16:15,COMUM
88,MI005,-25.421055,-49.362323,16:15,COMUM
89,CI008,-25.401296,-49.206465,16:15,COMUM
90,CI003,-25.385091,-49.214465,16:15,COMUM
91,CL301,-25.459088,-49.232848,16:15,PADRON
92,BL605,-25.415108,-49.285998,16:15,ARTICULADO
93,HL318,-25.426163,-49.242396,16:15,PADRON
94,BL604,-25.4646,-49.289873,16:15,ARTICULADO
95,BL610,-25.489285,-49.294065,16:15,ARTICULADO
96,BL602,-25.432575,-49.295363,16:15,ARTICULADO
97,BL600,-25.484053,-49.249596,16:15,ARTICULADO
98,CL699,-25.454095,-49.303866,16:15,ARTICULADO
99,CL601,-25.406833,-49.252326,16:15,ARTICULADO
100,CL602,-25.381418,-49.186098,16:15,ARTICULADO
101,DR804,-25.445795,-49.234375,16:14,ARTICULADO
102,ML308,-25.412726,-49.265146,16:15,PADRON
103,MI854,-25.385436,-49.362866,16:15,MICRO ESPECIAL
104,BC025,-25.410005,-49.291868,16:14,COMUM
105,BC026,-25.453498,-49.27257,16:15,COMUM
106,BI007,-25.413136,-49.205475,16:15,COMUM
107,BI008,-25.423738,-49.264083,16:15,COMUM
108,JI852,-25.452901,-49.377396,16:15,MICRO ESPECIAL
109,JC303,-25.444298,-49.274896,16:15,PADRON
110,JC309,-25.463658,-49.328793,16:15,PADRON
111,JC316,-25.435205,-49.273408,16:14,PADRON
112,JA300,-25.450766,-49.355366,16:15,PADRON
113,HI013,-25.511751,-49.325023,16:15,COMUM
114,HI003,-25.461013,-49.358208,16:15,COMUM
115,HC004,-25.444455,-49.352255,16:15,COMUM
116,HA126,-25.503868,-49.34113,16:15,COMUM
117,HI023,-25.539101,-49.308118,16:15,COMUM
118,GI019,-25.593535,-49.277146,16:15,COMUM
119,GI018,-25.512916,-49.294753,16:15,COMUM
120,JI863,-25.469791,-49.311198,16:15,MICRO ESPECIAL
121,EI015,-25.498241,-49.245975,16:15,COMUM
122,EI019,-25.504725,-49.26271,16:15,COMUM
123,HI026,-25.520676,-49.29541,16:15,COMUM
124,HA006,-25.583668,-49.32594,16:15,COMUM
125,HC013,-25.541916,-49.321066,16:15,COMUM
126,HA017,-25.5752,-49.329893,16:15,COMUM
127,HC005,-25.538346,-49.30782,16:15,COMUM
128,HI007,-25.54033,-49.308235,16:14,COMUM
129,HI022,-25.621303,-49.365043,16:15,COMUM
130,HA022,-25.598935,-49.317155,16:15,COMUM
131,HA604,-25.513646,-49.29503,16:15,ARTICULADO
132,GE723,-25.499521,-49.238501,16:15,BIARTICULADO
133,GE725,-25.445548,-49.264841,16:15,BIARTICULADO
134,GE716,-25.473525,-49.251245,16:14,BIARTICULADO
135,GE714,-25.459261,-49.258206,16:15,BIARTICULADO
136,GE729,-25.434868,-49.270145,16:15,BIARTICULADO
137,GD349,-25.549685,-49.304006,16:15,BIARTICULADO
138,GE708,-25.504673,-49.2826,16:15,BIARTICULADO
139,GE731,-25.448363,-49.263406,16:15,BIARTICULADO
140,DN604,-25.45662,-49.237811,16:15,MICRO ESPECIAL
141,BI019,-25.373603,-49.210345,16:15,COMUM
142,BA027,-25.386255,-49.233838,16:15,COMUM
143,BC030,-25.419111,-49.218006,16:15,COMUM
144,BC316,-25.428108,-49.233215,16:15,HIBRIDO
145,CC301,-25.41641,-49.201856,16:13,HIBRIDO
146,BC032,-25.429916,-49.266856,16:15,COMUM
147,BC314,-25.42966,-49.216903,16:15,HIBRIDO
148,JI601,-25.455501,-49.247805,16:15,ARTICULADO
149,JB604,-25.477328,-49.32739,16:15,ARTICULADO
150,JB610,-25.466736,-49.279941,16:15,ARTICULADO
151,GB607,-25.458541,-49.249846,16:15,ARTICULADO
152,EB607,-25.476996,-49.292316,16:15,ARTICULADO
153,KB604,-25.467551,-49.254731,16:15,ARTICULADO
154,EB601,-25.474565,-49.288756,16:15,ARTICULADO
155,EB608,-25.467388,-49.255815,16:15,ARTICULADO
156,EB605,-25.454736,-49.215461,16:15,ARTICULADO
157,JI603,-25.441411,-49.27118,16:15,ARTICULADO
158,JI602,-25.46794,-49.31716,16:15,ARTICULADO
159,JC306,-25.448976,-49.287501,16:15,PADRON
160,JC308,-25.479561,-49.341316,16:15,PADRON
161,JC310,-25.45676,-49.302456,16:15,PADRON
162,JA699,-25.434788,-49.272178,16:15,ARTICULADO
163,JC315,-25.431468,-49.278643,16:15,PADRON
164,JI300,-25.450191,-49.363556,16:15,PADRON
165,GI015,-25.543051,-49.262528,16:15,COMUM
166,GI034,-25.54414,-49.260431,16:15,COMUM
167,GA002,-25.540526,-49.249325,16:15,COMUM
168,GA001,-25.542851,-49.262825,16:15,COMUM
169,GA003,-25.54998,-49.290596,16:15,COMUM
170,JC313,-25.448823,-49.28717,16:15,PADRON
171,JI301,-25.441391,-49.271203,16:15,PADRON
172,JC317,-25.476698,-49.323108,16:15,PADRON
173,JC301,-25.441518,-49.272315,16:15,PADRON
174,JC304,-25.453171,-49.293083,16:15,PADRON
175,JC600,-25.429515,-49.2846,16:15,ARTICULADO
176,GE736,-25.436858,-49.264818,16:14,BIARTICULADO
177,HE714,-25.389968,-49.237246,16:15,BIARTICULADO
178,BE706,-25.418025,-49.263176,16:15,BIARTICULADO
179,BE701,-25.479511,-49.292206,16:15,BIARTICULADO
180,BE707,-25.457993,-49.28879,16:15,BIARTICULADO
