,id_onibus,latitude,longitude,tempo_captura,tipo_veiculo
0,GI035,-25.519171,-49.29448,16:16,COMUM
1,JL316,-25.448596,-49.365731,16:14,PADRON
2,JL318,-25.339413,-49.271115,16:16,PADRON
3,JL305,-25.467538,-49.317138,16:16,PADRON
4,JL320,-25.413816,-49.265965,16:16,PADRON
5,JL310,-25.441683,-49.2682,16:16,PADRON
6,JL324,-25.427246,-49.281738,16:16,PADRON
7,DE712,-25.43581,-49.274511,16:16,BIARTICULADO
8,DE711,-25.46493,-49.209926,16:16,BIARTICULADO
9,GE707,-25.438808,-49.269568,16:16,BIARTICULADO
10,DE701,-25.435766,-49.259958,16:16,BIARTICULADO
11,DE703,-25.436195,-49.307488,16:16,BIARTICULADO
12,JE702,-25.435876,-49.3072,16:16,BIARTICULADO
13,JE706,-25.451645,-49.215065,16:16,BIARTICULADO
14,DE716,-25.440506,-49.220766,16:16,BIARTICULADO
15,DE714,-25.440933,-49.342258,16:16,BIARTICULADO
16,JE700,-25.440908,-49.34167,16:16,BIARTICULADO
17,JE701,-25.437813,-49.267141,16:16,BIARTICULADO
18,JE703,-25.43562,-49.25071,16:16,BIARTICULADO
19,JE705,-25.46905,-49.208355,16:16,BIARTICULADO
20,DE709,-25.430775,-49.293893,16:16,BIARTICULADO
21,DE719,-25.441893,-49.231841,16:16,BIARTICULADO
22,DE706,-25.428845,-49.287823,16:16,BIARTICULADO
23,JE708,-25.439141,-49.272365,16:15,BIARTICULADO
24,DE713,-25.431285,-49.278906,16:16,BIARTICULADO
25,DE710,-25.470863,-49.21115,16:15,BIARTICULADO
26,DE718,-25.441651,-49.346911,16:16,BIARTICULADO
27,DE707,-25.435891,-49.269596,16:16,BIARTICULADO
28,GE709,-25.432383,-49.271901,16:16,BIARTICULADO
29,JE848,-25.431143,-49.27938,16:16,BIARTICULADO
30,JE704,-25.449478,-49.363745,16:16,BIARTICULADO
31,JE709,-25.451135,-49.363216,16:16,BIARTICULADO
32,JE846,-25.448886,-49.365305,16:15,BIARTICULADO
33,JB609,-25.501963,-49.327391,16:16,ARTICULADO
34,JB607,-25.51316,-49.295121,16:16,ARTICULADO
35,GB609,-25.484718,-49.321256,16:16,ARTICULADO
36,HB694,-25.477901,-49.331975,16:16,ARTICULADO
37,HB610,-25.461551,-49.345556,16:16,ARTICULADO
