,latitude,longitude,tempo_captura,id_onibus
0,-22.89566,-43.55997,05-01-2023 00:07:37,B32524
1,-22.86749,-43.25846,05-01-2023 03:34:07,B63076
2,-22.92886,-43.25371,05-01-2023 03:53:22,C50132
3,-22.87586,-43.41892,05-01-2023 06:52:48,D13206
4,-22.88951,-43.29263,05-01-2023 06:54:41,A72078
5,-22.87974,-43.35703,05-01-2023 07:44:26,D13275
6,-22.87933,-43.35704,05-01-2023 08:12:37,C13007
7,-22.81697,-43.30115,05-01-2023 08:16:07,B27110
8,-22.8764,-43.41948,05-01-2023 08:36:01,D13230
9,-22.87627,-43.41941,05-01-2023 08:36:52,D13207
10,-22.87628,-43.41936,05-01-2023 08:37:35,D13188
11,-22.88384,-43.49555,05-01-2023 08:37:50,D53915
12,-22.88384,-43.49555,05-01-2023 08:37:50,D53915
13,-22.87619,-43.41938,05-01-2023 08:38:17,D13292
14,-22.87555,-43.41964,05-01-2023 08:44:29,D13147
15,-22.87581,-43.41936,05-01-2023 08:46:21,D13271
16,-22.86081,-43.35636,05-01-2023 08:48:08,B44575
17,-22.87605,-43.41904,05-01-2023 08:48:35,D13189
18,-22.91677,-43.60728,05-01-2023 08:55:49,D87877
19,-22.87548,-43.41877,05-01-2023 09:12:08,D13334
20,-22.87518,-43.24064,05-01-2023 09:54:14,C41374
21,-22.85895,-43.37103,05-01-2023 10:07:32,B11557
22,-22.66979,-43.30281,05-01-2023 10:30:56,B44619
23,-22.63964,-43.3397,05-01-2023 10:31:17,B44600
24,-22.66887,-43.42392,05-01-2023 11:16:06,B31113
25,-22.87971,-43.35692,05-01-2023 11:21:58,C47618
26,-22.66338,-43.41694,05-01-2023 11:42:16,B31114
27,-22.91833,-43.60835,05-01-2023 11:42:54,D87826
28,-22.87633,-43.4192,05-01-2023 11:54:07,D13149
29,-22.87986,-43.3569,05-01-2023 11:59:02,C47990
30,-22.81789,-43.39315,05-01-2023 12:05:35,B32729
31,-22.88033,-43.3572,05-01-2023 12:10:16,C47586
32,-22.66254,-43.49405,05-01-2023 12:19:51,B31030
33,-22.88351,-43.49482,05-01-2023 12:20:24,D53502
34,-22.88351,-43.49482,05-01-2023 12:20:24,D53502
35,-22.51464,-42.97026,05-01-2023 12:22:35,C27116
36,-22.87992,-43.358,05-01-2023 12:27:18,C13152
37,-22.87485,-43.24176,05-01-2023 12:37:02,A41190
38,-22.92949,-43.25372,05-01-2023 12:42:02,A50089
39,-22.91755,-43.6074,05-01-2023 12:56:16,D87468
40,-22.89386,-43.5321,05-01-2023 12:57:11,D86245
41,-22.95341,-43.35099,05-01-2023 13:21:46,C47534
42,-22.88894,-43.29256,05-01-2023 13:29:24,B71066
43,-22.88873,-43.29284,05-01-2023 13:49:02,A72103
44,-22.89424,-43.53133,05-01-2023 13:56:27,D86765
45,-22.95213,-43.34778,05-01-2023 14:00:18,C30260
46,-22.86865,-43.29154,05-01-2023 14:07:00,A29047
47,-22.8894,-43.29156,05-01-2023 14:07:45,B71065
48,-22.95219,-43.34783,05-01-2023 14:10:01,C30139
49,-22.81694,-43.39406,05-01-2023 14:10:18,B32840
50,-22.9178,-43.60853,05-01-2023 14:15:30,D17017
51,-22.8757,-43.41882,05-01-2023 14:18:52,D13195
52,-22.86809,-43.25718,05-01-2023 14:25:49,B10533
53,-22.86701,-43.34105,05-01-2023 14:32:42,B32832
54,-22.95256,-43.34819,05-01-2023 14:37:44,C47928
55,-22.91364,-43.37608,05-01-2023 14:37:55,D13283
56,-22.95209,-43.34808,05-01-2023 14:38:11,C30332
57,-22.86802,-43.2915,05-01-2023 14:45:17,A29076
58,-22.86789,-43.29056,05-01-2023 14:47:05,A29103
59,-22.87454,-43.24209,05-01-2023 14:53:21,A41030
60,-22.91688,-43.6077,05-01-2023 14:55:18,D87856
61,-22.83666,-43.28572,05-01-2023 15:03:38,B58015
62,-22.88894,-43.29274,05-01-2023 15:45:54,A72016
63,-22.86784,-43.29304,05-01-2023 15:52:27,A29115
64,-22.86487,-43.57184,05-01-2023 15:56:36,D17004
65,-22.95942,-43.3953,05-01-2023 16:04:44,C50068
66,-22.86818,-43.25712,05-01-2023 16:18:31,B10559
67,-22.86827,-43.29145,05-01-2023 16:18:54,A29185
68,-22.87648,-43.41986,05-01-2023 16:22:53,D13154
69,-22.86047,-43.35618,05-01-2023 16:30:24,B44678
70,-22.8368,-43.38054,05-01-2023 16:45:03,B32709
71,-22.87983,-43.35674,05-01-2023 16:52:38,C47988
72,-22.87552,-43.241,05-01-2023 16:58:34,A41291
73,-22.81452,-43.18894,05-01-2023 16:58:42,B28732
74,-22.92912,-43.25415,05-01-2023 17:08:14,C50116
75,-22.81544,-43.18805,05-01-2023 17:18:56,B28738
76,-22.91688,-43.60735,05-01-2023 17:23:27,D17119
77,-22.81706,-43.30177,05-01-2023 17:25:06,B27143
78,-22.81567,-43.38667,05-01-2023 17:30:55,B32703
79,-22.81615,-43.39471,05-01-2023 17:31:36,B32616
80,-22.81696,-43.30188,05-01-2023 17:33:06,B27043
81,-22.9603,-43.39562,05-01-2023 17:36:51,C50175
82,-22.86839,-43.29153,05-01-2023 17:40:18,A29167
83,-22.87619,-43.41961,05-01-2023 17:48:12,D13302
84,-22.86843,-43.29161,05-01-2023 17:52:25,A29174
85,-22.80443,-43.36296,05-01-2023 17:54:04,B63034
86,-22.88062,-43.35803,05-01-2023 17:55:37,C13059
87,-22.9171,-43.60835,05-01-2023 17:57:32,D17179
88,-22.95261,-43.3485,05-01-2023 18:06:06,C47954
89,-22.81772,-43.39317,05-01-2023 18:13:14,B32589
90,-22.85985,-43.37071,05-01-2023 18:13:17,B11555
91,-22.95255,-43.34798,05-01-2023 18:17:43,C47950
92,-22.8761,-43.41989,05-01-2023 18:19:16,D13249
93,-22.83192,-43.34309,05-01-2023 18:19:47,D13170
94,-22.88935,-43.29187,05-01-2023 18:20:32,A72096
