,latitude,longitude,tempo_captura,id_onibus
0,-48.02363,-15.87521,1677077308000,338974
1,-48.12165,-15.89967,1681126946000,335398
2,-48.1087,-15.92064,1681463427000,338176
3,-47.995,-15.87592,1681472512000,337366
4,-48.12274,-15.89943,1681911061000,333450
5,-48.10838,-15.92123,1682356382000,337811
6,-47.99458,-15.87542,1682363110000,336971
7,-47.90759,-15.7365,1682419674000,333417
8,-47.90765,-15.73654,1682420873000,332038
9,-47.90405,-15.78494,1682421513000,333638
10,-47.90659,-15.73596,1682422055000,333280
11,-47.9077,-15.73659,1682422681000,333441
12,-47.90395,-15.78474,1682422719000,333603
13,-47.9079,-15.7364,1682422973000,333891
14,-47.9076,-15.73632,1682423832000,332011
15,-47.9065,-15.73579,1682423848000,332119
16,-47.90396,-15.78443,1682424026000,333964
17,-47.90385,-15.78492,1682424280000,333301
18,-47.90642,-15.73614,1682424666000,332062
19,-47.90782,-15.73638,1682424915000,333239
20,-47.90396,-15.78467,1682424958000,332224
21,-47.90777,-15.73636,1682425112000,333174
22,-47.90784,-15.73659,1682425241000,333557
23,-47.90791,-15.73659,1682425428000,333361
24,-47.90712,-15.73613,1682425434000,333182
25,-47.90745,-15.73623,1682425504000,332143
26,-47.90393,-15.78441,1682425653000,333514
27,-47.9077,-15.73632,1682425738000,332071
28,-47.90792,-15.73661,1682426590000,333948
29,-47.97443,-15.87619,1682426672000,332089
30,-47.90807,-15.73669,1682428590000,332186
31,-48.12265,-15.8995,1682432956000,332097
32,-47.90419,-15.78438,1682434815000,332054
33,-47.90828,-15.73534,1682438790000,333671
34,-47.90372,-15.78474,1682440599000,333778
35,-47.90659,-15.73579,1682440993000,332178
36,-48.02246,-15.88609,1682441823000,338630
37,-47.90387,-15.7847,1682442529000,333352
38,-47.90643,-15.73619,1682443473000,333816
39,-47.90698,-15.73646,1682444194000,331961
40,-47.9031,-15.78249,1682445052000,337315
41,-47.9031,-15.78249,1682445354000,337331
42,-47.90636,-15.73588,1682445359000,333506
43,-47.90712,-15.73613,1682445395000,333484
44,-47.90828,-15.73534,1682445526000,337196
45,-48.05595,-15.91299,1682445739000,337013
46,-47.9031,-15.78249,1682445840000,337781
47,-48.10857,-15.92143,1682446031000,339491
48,-48.05556,-15.91321,1682446236000,337242
49,-48.02287,-15.88587,1682446340000,337412
50,-47.90828,-15.73534,1682446365000,337773
51,-47.9031,-15.78249,1682446410000,337731
52,-48.05583,-15.91296,1682446658000,336939
53,-47.9031,-15.78249,1682446685000,337161
54,-48.05595,-15.91304,1682446892000,339547
55,-48.05599,-15.91308,1682446999000,336963
56,-47.90783,-15.73641,1682447003000,332101
57,-47.90421,-15.78441,1682447081000,337803
58,-47.9031,-15.78249,1682447110000,337820
59,-47.90712,-15.73613,1682447188000,337382
60,-47.90785,-15.73643,1682447196000,336645
61,-48.05648,-16.03764,1682447272000,339709
62,-48.10904,-15.93289,1682447323000,339440
63,-47.90828,-15.73534,1682447326000,337293
64,-48.1089,-15.93298,1682447353000,337455
65,-48.03358,-15.94938,1682447363000,339601
66,-48.03358,-15.94938,1682447363000,337757
67,-47.90632,-15.73619,1682447441000,339334
68,-48.12273,-15.89956,1682447442000,333743
69,-48.03358,-15.94938,1682447469000,339423
70,-48.14982,-15.88417,1682447471000,335509
71,-47.90632,-15.73619,1682447618000,339628
72,-48.14676,-15.89781,1682447623000,335576
73,-47.9031,-15.78249,1682447648000,336947
74,-48.05588,-15.91289,1682447665000,339610
75,-48.10872,-15.93311,1682447687000,339598
76,-48.05964,-15.83423,1682447688000,336220
77,-47.9031,-15.78249,1682447748000,337501
78,-48.02288,-15.88571,1682447792000,336831
79,-47.90637,-15.73563,1682447809000,338834
80,-48.07529,-15.80557,1682447819000,335878
81,-47.97082,-15.8691,1682447842000,338494
82,-47.90804,-15.73655,1682447856000,333522
83,-47.89062,-15.79261,1682447860000,338435
84,-47.89651,-15.78065,1682447864000,333999
85,-47.9031,-15.78249,1682447872000,337498
86,-47.9031,-15.78249,1682447878000,337188
87,-48.05835,-15.83859,1682447889000,336319
88,-48.08979,-15.90987,1682447907000,339580
89,-47.90765,-15.736,1682447927000,333590
90,-48.02287,-15.88587,1682447941000,339482
91,-48.12175,-15.89942,1682447973000,332194
92,-48.05558,-15.91306,1682447982000,337170
93,-48.0691,-15.80363,1682447994000,337919
94,-47.90643,-15.73585,1682447995000,338923
95,-48.11182,-15.88242,1682447999000,339725
96,-48.08094,-15.86541,1682448003000,333832
97,-48.09985,-15.88982,1682448006000,339750
98,-47.96143,-15.86466,1682448014000,335819
99,-48.03237,-15.87497,1682448018000,337625
100,-48.06736,-15.87778,1682448043000,335347
101,-47.90646,-15.73558,1682448046000,336475
102,-48.11218,-15.84973,1682448047000,338656
103,-47.90828,-15.73534,1682448058000,337391
104,-47.9073,-15.73603,1682448060000,335371
105,-48.1108,-15.93077,1682448061000,338401
106,-48.11932,-15.88636,1682448069000,339172
107,-47.88271,-15.79368,1682448070000,337269
108,-48.05381,-15.83035,1682448098000,333549
109,-48.10712,-15.88781,1682448098000,339776
110,-47.88864,-15.77112,1682448098000,337692
111,-47.90702,-15.7363,1682448102000,333689
112,-48.05569,-15.91331,1682448103000,338168
113,-48.11779,-15.83756,1682448109000,338249
114,-48.13465,-15.78765,1682448113000,336874
115,-47.9067,-15.73584,1682448116000,339016
116,-47.90828,-15.73534,1682448142000,333255
117,-47.90653,-15.73587,1682448172000,337714
118,-48.127,-15.89755,1682448174000,335665
119,-47.90783,-15.73659,1682448207000,336050
120,-47.90394,-15.78506,1682448212000,333727
121,-47.90667,-15.7363,1682448223000,336700
122,-47.90638,-15.73624,1682448231000,333794
123,-48.1227,-15.89974,1682448235000,336211
124,-47.90659,-15.73616,1682448240000,338761
125,-47.99462,-15.87559,1682448246000,339512
126,-47.90831,-15.73668,1682448249000,336751
127,-47.90649,-15.73592,1682448259000,338958
128,-48.02284,-15.88563,1682448276000,338061
129,-48.11195,-15.82115,1682448286000,337145
130,-48.10898,-15.93312,1682448289000,338206
131,-47.90727,-15.73604,1682448301000,335258
132,-47.90683,-15.73603,1682448310000,338524
133,-48.12295,-15.89972,1682448310000,335835
134,-47.89802,-15.74113,1682448314000,338613
135,-48.03365,-15.94892,1682448316000,337871
136,-47.91603,-15.78374,1682448331000,337528
137,-47.90768,-15.73642,1682448342000,337943
138,-48.03715,-15.8647,1682448345000,339164
139,-48.15052,-15.88408,1682448352000,336203
140,-47.87528,-15.76845,1682448358000,336114
141,-47.93145,-15.84631,1682448374000,336726
142,-47.90678,-15.73611,1682448407000,339032
143,-47.90438,-15.78464,1682448412000,336491
144,-47.90672,-15.73594,1682448417000,338931
145,-48.03363,-15.94969,1682448419000,338222
146,-47.90741,-15.73604,1682448429000,335720
147,-48.15004,-15.8846,1682448435000,336301
148,-48.03618,-15.94077,1682448447000,337641
149,-48.02309,-15.88592,1682448450000,337340
150,-48.04811,-15.92028,1682448459000,338711
151,-48.14869,-15.89289,1682448459000,333581
152,-47.90747,-15.73628,1682448460000,333531
153,-48.15129,-15.88515,1682448464000,333409
154,-48.10912,-15.93266,1682448472000,338001
155,-48.02278,-15.88598,1682448474000,338052
156,-48.04527,-15.87454,1682448479000,337471
157,-48.12267,-15.8995,1682448483000,333867
158,-48.15046,-15.88436,1682448484000,339806
159,-48.10784,-15.92143,1682448492000,333921
160,-48.04935,-15.84599,1682448500000,333930
161,-48.05729,-15.89229,1682448502000,337480
162,-48.0586,-15.87392,1682448516000,336891
163,-48.10913,-15.9328,1682448531000,337901
