,latitude,longitude,tempo_captura,id_onibus
0,-48.02363,-15.87521,1677077308000,338974
1,-48.12165,-15.89967,1681126946000,335398
2,-48.1087,-15.92064,1681463427000,338176
3,-47.995,-15.87592,1681472512000,337366
4,-48.12274,-15.89943,1681911061000,333450
5,-48.10838,-15.92123,1682356382000,337811
6,-47.99458,-15.87542,1682363110000,336971
7,-47.90759,-15.7365,1682419674000,333417
8,-47.90405,-15.78494,1682421513000,333638
9,-47.90659,-15.73596,1682422055000,333280
10,-47.9077,-15.73659,1682422681000,333441
11,-47.90395,-15.78474,1682422719000,333603
12,-47.9079,-15.7364,1682422973000,333891
13,-47.9076,-15.73632,1682423832000,332011
14,-47.9065,-15.73579,1682423848000,332119
15,-47.90385,-15.78492,1682424280000,333301
16,-47.90642,-15.73614,1682424666000,332062
17,-47.90782,-15.73638,1682424915000,333239
18,-47.90777,-15.73636,1682425112000,333174
19,-47.90784,-15.73659,1682425241000,333557
20,-47.90791,-15.73659,1682425428000,333361
21,-47.90712,-15.73613,1682425434000,333182
22,-47.90745,-15.73623,1682425504000,332143
23,-47.90393,-15.78441,1682425653000,333514
24,-47.9077,-15.73632,1682425738000,332071
25,-47.90792,-15.73661,1682426590000,333948
26,-47.97443,-15.87619,1682426672000,332089
27,-47.90807,-15.73669,1682428590000,332186
28,-48.12265,-15.8995,1682432956000,332097
29,-47.90419,-15.78438,1682434815000,332054
30,-47.90828,-15.73534,1682438790000,333671
31,-47.90372,-15.78474,1682440599000,333778
32,-47.90659,-15.73579,1682440993000,332178
33,-48.02246,-15.88609,1682441823000,338630
34,-47.90387,-15.7847,1682442529000,333352
35,-47.90643,-15.73619,1682443473000,333816
36,-47.90698,-15.73646,1682444194000,331961
37,-47.90636,-15.73588,1682445359000,333506
38,-48.05556,-15.91321,1682446236000,337242
39,-48.02287,-15.88587,1682446340000,337412
40,-47.90828,-15.73534,1682446365000,337773
41,-47.9031,-15.78249,1682446410000,337731
42,-47.9031,-15.78249,1682446685000,337161
43,-48.05595,-15.91304,1682446892000,339547
44,-48.05599,-15.91308,1682446999000,336963
45,-47.90783,-15.73641,1682447003000,332101
46,-47.90421,-15.78441,1682447081000,337803
47,-48.05648,-16.03764,1682447272000,339709
48,-48.10904,-15.93289,1682447323000,339440
49,-47.90828,-15.73534,1682447326000,337293
50,-48.1089,-15.93298,1682447353000,337455
51,-48.03358,-15.94938,1682447363000,339601
52,-48.12273,-15.89956,1682447442000,333743
53,-48.05588,-15.91289,1682447665000,339610
54,-48.14295,-15.89023,1682447798000,335576
55,-48.08979,-15.90987,1682447907000,339580
56,-48.02287,-15.88587,1682447941000,339482
57,-48.06736,-15.87778,1682448043000,335347
58,-47.90828,-15.73534,1682448058000,337391
59,-47.88271,-15.79368,1682448070000,337269
60,-47.90828,-15.73534,1682448142000,333255
61,-47.9065,-15.73586,1682448215000,338923
62,-47.99462,-15.87559,1682448246000,339512
63,-47.88271,-15.79368,1682448260000,338435
64,-48.09555,-15.88153,1682448298000,339776
65,-48.10865,-15.93337,1682448487000,338401
66,-48.10784,-15.92143,1682448492000,333921
67,-47.90828,-15.73534,1682448538000,336980
68,-47.90409,-15.78504,1682448588000,338907
69,-48.09868,-15.88376,1682448654000,335665
70,-48.05583,-15.91296,1682448675000,339474
71,-48.10857,-15.92143,1682448746000,337421
72,-48.10102,-15.91764,1682448772000,338001
73,-47.90736,-15.73597,1682448772000,339075
74,-47.97486,-15.87587,1682448809000,335568
75,-47.906,-15.73611,1682448827000,335860
76,-48.12271,-15.8996,1682448839000,332194
77,-48.05583,-15.91296,1682448840000,339415
78,-48.02277,-15.88593,1682448848000,338052
79,-47.9081,-15.73647,1682448855000,333522
80,-47.90833,-15.73664,1682448939000,337897
81,-48.10238,-15.81638,1682448958000,338125
82,-48.06392,-15.85921,1682448965000,339750
83,-48.14862,-15.89282,1682448972000,336301
84,-47.9031,-15.78249,1682448976000,337315
85,-47.90752,-15.73629,1682448980000,333531
86,-48.14861,-15.89351,1682448984000,336793
87,-48.1344,-15.78755,1682448990000,339296
88,-48.02293,-15.88617,1682448994000,337404
89,-47.90673,-15.73622,1682449011000,337561
90,-47.92794,-15.82801,1682449011000,339300
91,-47.90828,-15.73534,1682449015000,336645
92,-48.06817,-15.90438,1682449019000,337480
93,-47.90676,-15.73612,1682449046000,339032
94,-47.90439,-15.78443,1682449076000,337510
95,-48.076,-15.88006,1682449085000,333832
96,-47.9078,-15.7367,1682449121000,338516
97,-47.90278,-15.77979,1682449132000,338591
98,-48.06539,-15.85163,1682449135000,335649
99,-48.15106,-15.88423,1682449139000,339725
100,-47.9126,-15.73836,1682449140000,333395
101,-47.88264,-15.79304,1682449160000,338419
102,-47.90665,-15.73608,1682449165000,336840
103,-48.10838,-15.92151,1682449169000,338362
104,-47.90664,-15.73628,1682449185000,336700
105,-47.95776,-15.86786,1682449193000,339326
106,-48.08139,-15.90661,1682449206000,339407
107,-48.03327,-15.94963,1682449210000,337871
108,-47.90648,-15.73615,1682449232000,338842
109,-47.90632,-15.73619,1682449245000,339334
110,-48.15004,-15.88428,1682449251000,339288
111,-48.05468,-15.88063,1682449253000,336696
112,-48.12877,-15.90233,1682449254000,339792
113,-47.98876,-15.85831,1682449271000,333492
114,-47.9031,-15.78249,1682449283000,337331
115,-48.08448,-15.87706,1682449287000,335401
116,-48.08192,-15.86566,1682449308000,339822
117,-48.15023,-15.8843,1682449322000,333310
118,-48.0173,-15.88645,1682449324000,336955
119,-48.05583,-15.91296,1682449328000,337013
120,-48.0054,-15.87748,1682449333000,335959
121,-47.90632,-15.73619,1682449339000,337382
122,-48.12962,-15.90239,1682449341000,335550
123,-47.88231,-15.79309,1682449354000,337251
124,-48.00873,-15.9536,1682449365000,339539
125,-47.9065,-15.73594,1682449378000,338958
126,-48.05388,-15.90063,1682449401000,338168
127,-48.109,-15.93299,1682449410000,337536
128,-47.9947,-15.87536,1682449413000,338044
129,-48.13436,-15.78819,1682449415000,337145
130,-48.12251,-15.89972,1682449416000,335673
131,-47.90828,-15.73534,1682449420000,339628
132,-47.90637,-15.7363,1682449448000,333794
133,-47.90828,-15.73534,1682449459000,337196
134,-48.06542,-15.90423,1682449479000,338206
135,-48.05613,-15.83589,1682449503000,339865
136,-48.02289,-15.88564,1682449503000,338257
137,-47.90778,-15.73673,1682449508000,336114
138,-47.87452,-15.76231,1682449511000,338354
139,-47.91779,-15.85661,1682449512000,335819
140,-48.03358,-15.94969,1682449518000,338222
141,-48.06753,-15.90446,1682449518000,338940
142,-48.12275,-15.89976,1682449521000,336211
143,-48.05581,-15.91381,1682449526000,338711
144,-48.1085,-15.93326,1682449535000,337838
145,-47.90663,-15.73614,1682449544000,338761
146,-48.05493,-15.88998,1682449546000,337641
147,-47.88275,-15.79294,1682449546000,335444
148,-48.05042,-15.83186,1682449548000,336556
149,-47.90676,-15.73609,1682449553000,339237
150,-47.97497,-15.87549,1682449561000,331988
151,-47.90803,-15.73649,1682449566000,331945
152,-47.97492,-15.87586,1682449577000,333425
153,-47.90409,-15.78445,1682449583000,338095
154,-48.11704,-15.82393,1682449612000,336874
155,-48.03358,-15.94938,1682449617000,339423
156,-48.08908,-15.87439,1682449618000,335487
157,-48.08025,-15.80718,1682449618000,335517
158,-47.90742,-15.73627,1682449629000,333808
159,-48.08098,-15.86488,1682449633000,332160
160,-47.98126,-15.83049,1682449634000,337889
161,-47.89767,-15.80511,1682449637000,336441
162,-47.90766,-15.73669,1682449640000,337692
163,-47.9794,-15.87348,1682449644000,337153
